,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
10988,Estonia,2017,9,J-Antiinfectives for systemic use,Million US$ at exchange rate,49.4
10989,Estonia,2017,9,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",12.4
10990,Estonia,2017,9,J-Antiinfectives for systemic use,Million of national currency units,43.8
10991,Estonia,2017,9,J01-Antibacterials for systemic use,Million US$ at exchange rate,7.5
10992,Estonia,2017,9,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",62.1
10993,Estonia,2017,9,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",81.8
10994,Estonia,2017,9,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",37.5
10995,Estonia,2017,9,Total pharmaceutical sales,"/capita, US$ exchange rate",258.1
10996,Estonia,2017,9,Total pharmaceutical sales,"/capita, US$ purchasing power parity",427.1
10997,Estonia,2017,9,A10-Drugs used in diabetes,Million US$ at exchange rate,20.3
10998,Estonia,2017,9,J01-Antibacterials for systemic use,Million of national currency units,6.6
10999,Estonia,2017,9,A10-Drugs used in diabetes,Million of national currency units,18.0
11000,Estonia,2017,9,N-Nervous system,Million of national currency units,26.2
11001,Estonia,2017,9,J-Antiinfectives for systemic use,% of total sales,14.5
11002,Estonia,2017,9,C-Cardiovascular system,"/capita, US$ purchasing power parity",42.5
11003,Estonia,2017,9,N-Nervous system,Million US$ at exchange rate,29.6
11004,Estonia,2017,9,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",9.4
11005,Estonia,2017,9,C02-Antihypertensives,Million of national currency units,0.9
11006,Estonia,2017,9,Total pharmaceutical sales,"Million US$, purchasing power parity",562.6
11007,Estonia,2017,9,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",5.7
11008,Estonia,2017,9,J01-Antibacterials for systemic use,% of total sales,2.2
11009,Estonia,2017,9,C-Cardiovascular system,% of total sales,9.9
11010,Finland,2016,3,C01A-Cardiac glycosides,% of total sales,0.1
11011,Finland,2016,3,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.2
11012,Finland,2016,3,C07-Beta blocking agents,"Million US$, purchasing power parity",30.1
11013,Finland,2016,3,C07-Beta blocking agents,Million US$ at exchange rate,29.3
11014,Finland,2016,3,C07-Beta blocking agents,Million of national currency units,26.5
11015,Finland,2016,3,C01A-Cardiac glycosides,Million of national currency units,1.2
11016,Finland,2016,3,C02-Antihypertensives,Million of national currency units,7.6
11017,Finland,2016,3,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.2
11018,Finland,2016,3,C01A-Cardiac glycosides,"Million US$, purchasing power parity",1.4
11019,Finland,2016,3,C01A-Cardiac glycosides,Million US$ at exchange rate,1.3
11020,Finland,2016,3,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",62.5
11021,Finland,2016,3,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",60.9
11022,Finland,2016,3,A-Alimentary tract and metabolism,% of total sales,13.2
11023,Finland,2016,3,A-Alimentary tract and metabolism,Million US$ at exchange rate,334.7
11024,Finland,2016,3,A-Alimentary tract and metabolism,Million of national currency units,302.4
11025,Finland,2016,3,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",343.3
11026,Finland,2016,3,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",13.7
11027,Finland,2016,3,N05C-Hypnotics and sedatives,Million US$ at exchange rate,13.4
11028,Finland,2016,3,N-Nervous system,Million of national currency units,307.0
11029,Finland,2016,3,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",2.4
11030,Finland,2016,3,N05C-Hypnotics and sedatives,% of total sales,0.5
11031,Finland,2016,3,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",2.5
11032,Finland,2016,3,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",130.2
11033,Finland,2016,3,G-Genito urinary system and sex hormones,Million US$ at exchange rate,127.0
11034,Finland,2016,3,C02-Antihypertensives,Million US$ at exchange rate,8.4
11035,Finland,2016,3,C02-Antihypertensives,"Million US$, purchasing power parity",8.6
11036,Finland,2016,3,G-Genito urinary system and sex hormones,% of total sales,5.0
11037,Finland,2016,3,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",23.1
11038,Finland,2016,3,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",23.7
11039,Finland,2016,3,N-Nervous system,Million US$ at exchange rate,339.8
11040,Finland,2016,3,N-Nervous system,"Million US$, purchasing power parity",348.5
11041,Finland,2016,3,G-Genito urinary system and sex hormones,Million of national currency units,114.7
11042,Finland,2016,3,N-Nervous system,% of total sales,13.4
11043,Finland,2016,3,N-Nervous system,"/capita, US$ purchasing power parity",63.4
11044,Finland,2016,3,N-Nervous system,"/capita, US$ exchange rate",61.8
11045,Finland,2016,3,N06A-Antidepressants,"Million US$, purchasing power parity",35.0
11046,Finland,2016,3,N06A-Antidepressants,Million US$ at exchange rate,34.1
11047,Finland,2016,3,N06A-Antidepressants,Million of national currency units,30.8
11048,Finland,2016,3,N06A-Antidepressants,% of total sales,1.3
11049,Finland,2016,3,N06A-Antidepressants,"/capita, US$ purchasing power parity",6.4
11050,Finland,2016,3,N06A-Antidepressants,"/capita, US$ exchange rate",6.2
11051,Finland,2016,3,A10-Drugs used in diabetes,Million of national currency units,153.5
11052,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",7.1
11053,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",40.1
11054,Finland,2016,3,A10-Drugs used in diabetes,"Million US$, purchasing power parity",174.3
11055,Finland,2016,3,A10-Drugs used in diabetes,"/capita, US$ exchange rate",30.9
11056,Finland,2016,3,A10-Drugs used in diabetes,Million US$ at exchange rate,169.9
11057,Finland,2016,3,R-Respiratory system,"/capita, US$ exchange rate",30.3
11058,Finland,2016,3,M-Musculo-skeletal system,% of total sales,4.3
11059,Finland,2016,3,R-Respiratory system,Million of national currency units,150.2
11060,Finland,2016,3,M-Musculo-skeletal system,"Million US$, purchasing power parity",111.0
11061,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,1.5
11062,Finland,2016,3,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",20.2
11063,Finland,2016,3,M-Musculo-skeletal system,"/capita, US$ exchange rate",19.7
11064,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",7.3
11065,Finland,2016,3,R-Respiratory system,Million US$ at exchange rate,166.3
11066,Finland,2016,3,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",31.7
11067,Finland,2016,3,R-Respiratory system,"Million US$, purchasing power parity",170.5
11068,Finland,2016,3,C08-Calcium channel blockers,% of total sales,0.8
11069,Finland,2016,3,A10-Drugs used in diabetes,% of total sales,6.7
11070,Finland,2016,3,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",4.0
11071,Finland,2016,3,M-Musculo-skeletal system,Million US$ at exchange rate,108.3
11072,Finland,2016,3,M-Musculo-skeletal system,Million of national currency units,97.8
11073,Finland,2016,3,G03-Sex hormones and modulators of the genital system,% of total sales,2.5
11074,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.9
11075,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.2
11076,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.8
11077,Finland,2016,3,C07-Beta blocking agents,% of total sales,1.2
11078,Finland,2016,3,C07-Beta blocking agents,"/capita, US$ exchange rate",5.3
11079,Finland,2016,3,C07-Beta blocking agents,"/capita, US$ purchasing power parity",5.5
11080,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,4.2
11081,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",4.8
11082,Finland,2016,3,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,4.6
11083,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,35.3
11084,Finland,2016,3,C08-Calcium channel blockers,"/capita, US$ exchange rate",3.9
11085,Finland,2016,3,C08-Calcium channel blockers,"Million US$, purchasing power parity",22.0
11086,Finland,2016,3,C02-Antihypertensives,"/capita, US$ exchange rate",1.5
11087,Finland,2016,3,R-Respiratory system,% of total sales,6.6
11088,Finland,2016,3,R-Respiratory system,"/capita, US$ purchasing power parity",31.0
11089,Finland,2016,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,39.1
11090,Finland,2016,3,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",65.5
11091,Finland,2016,3,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,63.9
11092,Finland,2016,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",11.6
11093,Finland,2016,3,C08-Calcium channel blockers,Million of national currency units,19.4
11094,Finland,2016,3,C08-Calcium channel blockers,Million US$ at exchange rate,21.5
11095,Finland,2016,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",11.9
11096,Finland,2016,3,G03-Sex hormones and modulators of the genital system,Million of national currency units,57.7
11097,Finland,2016,3,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",37.1
11098,Finland,2016,3,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",209.0
11099,Finland,2016,3,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",38.0
11100,Finland,2016,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",10.5
11101,Finland,2016,3,A02A-Antacids,% of total sales,0.1
11102,Finland,2016,3,J-Antiinfectives for systemic use,Million of national currency units,184.1
11103,Finland,2016,3,J-Antiinfectives for systemic use,Million US$ at exchange rate,203.8
11104,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,54.2
11105,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,60.0
11106,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",61.5
11107,Finland,2016,3,J-Antiinfectives for systemic use,% of total sales,8.0
11108,Finland,2016,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",10.8
11109,Finland,2016,3,C-Cardiovascular system,% of total sales,9.2
11110,Finland,2016,3,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,2.3
11111,Finland,2016,3,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",18.2
11112,Finland,2016,3,R03-Drugs for obstructive airway diseases,% of total sales,4.0
11113,Finland,2016,3,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",18.7
11114,Finland,2016,3,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",102.7
11115,Finland,2016,3,R03-Drugs for obstructive airway diseases,Million of national currency units,90.5
11116,Finland,2016,3,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,100.2
11117,Finland,2016,3,A02A-Antacids,"Million US$, purchasing power parity",3.6
11118,Finland,2016,3,A02A-Antacids,"/capita, US$ exchange rate",0.6
11119,Finland,2016,3,A02A-Antacids,"/capita, US$ purchasing power parity",0.7
11120,Finland,2016,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",59.4
11121,Finland,2016,3,A02A-Antacids,Million US$ at exchange rate,3.5
11122,Finland,2016,3,A02A-Antacids,Million of national currency units,3.2
11123,Finland,2016,3,B-Blood and blood forming organs,"Million US$, purchasing power parity",222.4
11124,Finland,2016,3,B-Blood and blood forming organs,Million US$ at exchange rate,216.8
11125,Finland,2016,3,B-Blood and blood forming organs,"/capita, US$ exchange rate",39.5
11126,Finland,2016,3,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",40.5
11127,Finland,2016,3,N05B-Anxiolytics,Million US$ at exchange rate,8.0
11128,Finland,2016,3,N05B-Anxiolytics,Million of national currency units,7.2
11129,Finland,2016,3,N02-Analgesics,% of total sales,3.2
11130,Finland,2016,3,Total pharmaceutical sales,"Million US$, purchasing power parity",2598.3
11131,Finland,2016,3,Total pharmaceutical sales,Million US$ at exchange rate,2533.5
11132,Finland,2016,3,Total pharmaceutical sales,Million of national currency units,2288.8
11133,Finland,2016,3,B-Blood and blood forming organs,% of total sales,8.6
11134,Finland,2016,3,Total pharmaceutical sales,"/capita, US$ exchange rate",461.0
11135,Finland,2016,3,Total pharmaceutical sales,"/capita, US$ purchasing power parity",472.8
11136,Finland,2016,3,C03-Diuretics,"/capita, US$ purchasing power parity",1.7
11137,Finland,2016,3,C03-Diuretics,"Million US$, purchasing power parity",9.1
11138,Finland,2016,3,C03-Diuretics,"/capita, US$ exchange rate",1.6
11139,Finland,2016,3,C03-Diuretics,% of total sales,0.3
11140,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",11.2
11141,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",10.9
11142,Finland,2016,3,C09-Agents acting on the Renin-Angiotensin system,% of total sales,2.4
11143,Finland,2016,3,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.5
11144,Finland,2016,3,N05B-Anxiolytics,"/capita, US$ exchange rate",1.5
11145,Finland,2016,3,N05B-Anxiolytics,"Million US$, purchasing power parity",8.2
11146,Finland,2016,3,C03-Diuretics,Million US$ at exchange rate,8.9
11147,Finland,2016,3,C03-Diuretics,Million of national currency units,8.0
11148,Finland,2016,3,N05B-Anxiolytics,% of total sales,0.3
11149,Finland,2016,3,B-Blood and blood forming organs,Million of national currency units,195.9
11150,Finland,2016,3,N02-Analgesics,Million US$ at exchange rate,79.9
11151,Finland,2016,3,N02-Analgesics,"Million US$, purchasing power parity",82.0
11152,Finland,2016,3,N05C-Hypnotics and sedatives,Million of national currency units,12.1
11153,Finland,2016,3,C10-Lipid modifying agents,Million of national currency units,66.8
11154,Finland,2016,3,C10-Lipid modifying agents,Million US$ at exchange rate,73.9
11155,Finland,2016,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,50.1
11156,Finland,2016,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,45.3
11157,Finland,2016,3,N02-Analgesics,"/capita, US$ exchange rate",14.5
11158,Finland,2016,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",9.1
11159,Finland,2016,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",51.4
11160,Finland,2016,3,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",62.7
11161,Finland,2016,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",9.4
11162,Finland,2016,3,J01-Antibacterials for systemic use,Million US$ at exchange rate,61.1
11163,Finland,2016,3,J01-Antibacterials for systemic use,Million of national currency units,55.2
11164,Finland,2016,3,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",11.4
11165,Finland,2016,3,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",11.1
11166,Finland,2016,3,N02-Analgesics,Million of national currency units,72.2
11167,Finland,2016,3,J01-Antibacterials for systemic use,% of total sales,2.4
11168,Finland,2016,3,C10-Lipid modifying agents,"/capita, US$ exchange rate",13.5
11169,Finland,2016,3,C-Cardiovascular system,"/capita, US$ exchange rate",42.3
11170,Finland,2016,3,C-Cardiovascular system,"/capita, US$ purchasing power parity",43.4
11171,Finland,2016,3,C02-Antihypertensives,% of total sales,0.3
